Year,Date,DayOfMonth,Month,ReferenceName
2000,Apr 01,1,4,NIHON-KOKI
2000,Apr 14,14,4,NIHON-KOKI
2000,Apr 05,5,4,NIHON-KOKI
2000,Apr 17,17,4,MONTOKUTENNO-JITSUROKU
2000,Apr 13,13,4,MONTOKUTENNO-JITSUROKU
2000,Apr 09,9,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 15,15,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 04,4,4,KANKE-BUNSOU
2000,Apr 13,13,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 17,17,4,FUSHIMIIN-GOKIROKKU
2000,Apr 15,15,4,KANKE-BUNSOU
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 13,13,4,NIPPON-SANDAI-JITSUROKU
2000,Apr 11,11,4,EST-from-WF(NIHONGI-RYAKU)
2000,Apr 07,7,4,EST-from-WF(KIMITADA-SHU)
2000,Apr 04,4,4,SHINGISHIKI
2000,Apr 19,19,4,SHUI-WAKASHU
2000,Apr 04,4,4,KINHISHO
2000,Apr 13,13,4,ZOKU-KOKIN-WAKASHU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 06,6,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 15,15,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 16,16,4,NIHONKIRYAKU
2000,Apr 04,4,4,DAINIHON-SHIRYO
2000,Mar 29,29,3,SHUISHO
2000,Apr 21,21,4,NIHONKIRYAKU
2000,Apr 18,18,4,NIHONKIRYAKU
2000,Apr 06,6,4,KYUREKI
2000,Apr 10,10,4,KYUREKI
2000,Mar 27,27,3,NIHONKIRYAKU
2000,Apr 03,3,4,NIHONKIRYAKU
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 12,12,4,NIHONKIRYAKU
2000,Apr 07,7,4,NIHONKIRYAKU
2000,Apr 16,16,4,EST-from-WF(SHIRYO-SORAN)
2000,Apr 17,17,4,NIHONKIRYAKU
2000,Apr 10,10,4,NIHONKIRYAKU
2000,Apr 21,21,4,FUSO-RYAKKI
2000,Apr 13,13,4,DAINIHON-SHIRYO
2000,Apr 03,3,4,SHOYUKI
2000,Apr 09,9,4,SHOYUKI
2000,Apr 13,13,4,EIGA-MONOGATARI(MIHATENUYUME)
2000,Apr 14,14,4,MIDO-KAMPAKUKI
2000,Apr 26,26,4,MIDO-KAMPAKUKI
2000,Apr 09,9,4,NIHONKIRYAKU
2000,Apr 15,15,4,MIDO-KAMPAKUKI
2000,Apr 24,24,4,DAI-SAIIN-GYOSHU
2000,Apr 20,20,4,MIDO-KAMPAKUKI
2000,Apr 08,8,4,MIDO-KAMPAKUKI
2000,Apr 22,22,4,MIDO-KAMPAKUKI
2000,Apr 07,7,4,SHOYUKI
2000,Apr 25,25,4,REKIDAI-HENNEN-SHUSEI
2000,Apr 06,6,4,SHOYUKI
2000,Apr 20,20,4,NIHONKIRYAKU
2000,Apr 11,11,4,NIHONKIRYAKU
2000,Apr 05,5,4,EST-from-WF(EIGA-MONOGATARI)
2000,Apr 13,13,4,NIHONKIRYAKU
2000,Apr 12,12,4,FUSO-RYAKKI
2000,Apr 12,12,4,EIGA-MONOGATARI(NEAWASE)
2000,Apr 21,21,4,IETSUNE-ASON-SHU
2000,Apr 14,14,4,EIGA-MONOGATARI(NEAWASE)
2000,Apr 17,17,4,SHIN-SENZAI-WAKASHU
2000,Apr 01,1,4,MOROZANE-SHU
2000,Apr 14,14,4,SUISAKI
2000,Apr 22,22,4,SHUGAKKAIKI
2000,Apr 12,12,4,EIGA-MONOGATARI(MATSUNO-SHIDUE)
2000,Apr 11,11,4,SUISAKI
2000,Apr 05,5,4,GONIJO-MOROMICHIKI
2000,Apr 29,29,4,ZOKU-GOSEN-WAKASHU
2000,Apr 13,13,4,GONIJO-MOROMICHIKI
2000,Apr 14,14,4,GONIJO-MOROMICHIKI
2000,Apr 14,14,4,GONIJO-MOROMICHIKI
2000,Apr 09,9,4,CHUYUKI
2000,Apr 05,5,4,GONIJO-MOROMICHIKI
2000,Apr 09,9,4,CHUYUKI
2000,Apr 12,12,4,GONIJO-MOROMICHIKI
2000,Apr 13,13,4,CHUYUKI
2000,Apr 17,17,4,DENRYAKU
2000,Apr 23,23,4,CHUYUKI
2000,Apr 14,14,4,CHUYUKI
2000,Apr 22,22,4,EISHOKI
2000,Apr 13,13,4,CHUYUKI
2000,Apr 09,9,4,DENRYAKU
2000,Apr 18,18,4,DENRYAKU
2000,Apr 11,11,4,MISSHU-KETSUMYAKUSHO
2000,Apr 13,13,4,DAIGO-ZOJIKI
2000,Apr 21,21,4,DAIGO-ZOJIKI
2000,Apr 07,7,4,DAIGO-ZOJIKI
2000,Apr 20,20,4,DAIGOJI-ZATSUYO
2000,Apr 17,17,4,DAIGOJI-ZATSUYO
2000,Apr 16,16,4,DAIGO-ZOJIKI
